latitude,longitude,city,numberofcalls,bouroughs,state,zipcode,location
40.88945854,-73.8982722,BRONX,14,BRONX, NY,10471,Club/Bar/Restaurant
40.67141401,-73.9844268,,21,BROOKLYN, NY,11215,Club/Bar/Restaurant
40.75006808,-73.88119355,JACKSON HEIGHTS,65,QUEENS, NY,11372,Club/Bar/Restaurant
40.74258786,-73.98041167,NEW YORK,98,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.84145055,-73.93577346,NEW YORK,21,MANHATTAN, NY,10032,Club/Bar/Restaurant
40.62526616,-73.92756266,,20,BROOKLYN, NY,11234,Club/Bar/Restaurant
40.76045412,-73.91527612,ASTORIA,177,QUEENS, NY,11103,Club/Bar/Restaurant
40.54195147,-74.17742807,STATEN ISLAND,51,STATEN ISLAND, NY,10312,Club/Bar/Restaurant
40.73349828,-73.95481369,,12,BROOKLYN, NY,11222,Club/Bar/Restaurant
40.71495071,-73.95175288,,,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.82415421,-73.9483821,NEW YORK,24,MANHATTAN, NY,10031,Club/Bar/Restaurant
40.70872939,-73.77898909,HOLLIS,161,QUEENS, NY,11423,Club/Bar/Restaurant
40.71817453,-73.99037175,NEW YORK,12,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.77480809,-73.91028259,ASTORIA,10,QUEENS, NY,11105,Club/Bar/Restaurant
40.75413091,-73.949068,LONG ISLAND CITY,12,QUEENS, NY,11101,Club/Bar/Restaurant
40.76494318,-73.91720536,ASTORIA,244,QUEENS, NY,11103,Club/Bar/Restaurant
40.74586649,-73.99204952,NEW YORK,10,MANHATTAN, NY,10001,Club/Bar/Restaurant
40.71395678,-73.95793275,,15,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.58073897,-73.83395295,ROCKAWAY PARK,44,QUEENS, NY,11694,Club/Bar/Restaurant
40.71144313,-73.94609232,,83,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.62637037,-74.07545381,STATEN ISLAND,14,STATEN ISLAND, NY,10304,Club/Bar/Restaurant
40.70251036,-73.99306814,,12,BROOKLYN, NY,11201,Club/Bar/Restaurant
40.77116239,-73.9566294,NEW YORK,35,MANHATTAN, NY,10021,Club/Bar/Restaurant
40.7147337,-73.96677363,,12,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.75444761,-73.93013645,LONG ISLAND CITY,121,QUEENS, NY,11101,Club/Bar/Restaurant
40.74135013,-73.98131059,NEW YORK,18,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.79513631,-73.96959389,NEW YORK,41,MANHATTAN, NY,10025,Club/Bar/Restaurant
40.80275151,-73.95659798,NEW YORK,22,MANHATTAN, NY,10026,Club/Bar/Restaurant
40.84706204,-73.93817525,NEW YORK,33,MANHATTAN, NY,10033,Club/Bar/Restaurant
40.7068971,-73.90311705,RIDGEWOOD,11,QUEENS, NY,11385,Club/Bar/Restaurant
40.60534388,-73.98183485,,99,BROOKLYN, NY,11223,Club/Bar/Restaurant
40.67690761,-73.9503239,,15,BROOKLYN, NY,11216,Club/Bar/Restaurant
40.76362248,-73.99701462,NEW YORK,202,MANHATTAN, NY,10036,Club/Bar/Restaurant
40.86931906,-73.91673192,NEW YORK,10,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.68296065,-73.95939451,,19,BROOKLYN, NY,11238,Club/Bar/Restaurant
40.64631775,-73.9519899,,47,BROOKLYN, NY,11226,Club/Bar/Restaurant
40.86522878,-73.91964383,NEW YORK,55,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.85205434,-73.82903921,BRONX,190,BRONX, NY,10461,Club/Bar/Restaurant
40.75066178,-74.00343234,NEW YORK,10,MANHATTAN, NY,10001,Club/Bar/Restaurant
